,runtime,type
2016/1/1,14.234,16M
2016/2/1,14.715,16M
2016/3/1,14.928,16M
2016/4/1,14.349,16M
2016/5/1,14.031,16M
2016/6/1,13.821,16M
2016/7/1,13.622,16M
2016/8/1,13.701,16M
2016/9/1,13.783,16M
2016/10/1,13.723,16M
2016/11/1,13.543,16M
2016/12/1,13.261,16M
2017/1/1,13.102,16M
2017/2/1,13.171,16M
2017/3/1,12.938,16M
2017/4/1,12.724,16M
2017/5/1,12.893,16M
2017/6/1,12.715,16M
2017/7/1,12.517,16M
2017/8/1,12.31,16M
2017/9/1,12.124,16M
2017/10/1,12.272,16M
2017/11/1,12.127,16M
2017/12/1,12.105,16M
2018/1/1,12.113,16M
2018/2/1,12.108,16M
2018/3/1,12.078,16M
2018/4/1,12.057,16M
2018/5/1,12.063,16M
2018/6/1,12.054,16M
2018/7/1,12.046,16M
2018/8/1,12.048,16M
2018/9/1,12.037,16M
