,runtime,type
2016/1/1,13.873,16M
2016/2/1,13.955,16M
2016/3/1,13.924,16M
2016/4/1,13.868,16M
2016/5/1,13.801,16M
2016/6/1,13.795,16M
2016/7/1,13.862,16M
2016/8/1,13.884,16M
2016/9/1,13.943,16M
2016/10/1,14.025,16M
2016/11/1,14.213,16M
2016/12/1,14.235,16M
2017/1/1,14.262,16M
2017/2/1,14.201,16M
2017/3/1,14.211,16M
2017/4/1,14.224,16M
2017/5/1,14.253,16M
2017/6/1,14.261,16M
2017/7/1,14.237,16M
2017/8/1,14.279,16M
2017/9/1,14.284,16M
2017/10/1,14.332,16M
2017/11/1,14.361,16M
2017/12/1,14.368,16M
2018/1/1,14.355,16M
2018/2/1,14.36,16M
2018/3/1,14.371,16M
2018/4/1,14.379,16M
2018/5/1,14.384,16M
2018/6/1,14.381,16M
2018/7/1,14.39,16M
2018/8/1,14.385,16M
2018/9/1,14.397,16M
