a1,a2,a3,h1,h2,h3,t1 ,t2,t3
9,6,1,7,3,1,6,5,2
3,2,4,4,6,5,1,7,1
4,10,6,6,4,7,4,5,6
5,7,6,6,8,4,4,9,7
8,6,2,2,6,1,6,9,4
5,3,1,1,5,9,3,1,6
2,8,10,10,9,2,7,4,2
3,3,1,1,2,6,4,4,5
5,10,1,1,3,7,7,1,6
9,10,7,7,6,5,3,8,5
9,5,1,1,7,4,2,8,1
3,5,4,4,4,2,2,1,2
2,5,3,3,9,2,6,1,2
6,8,9,9,9,6,9,6,5
6,3,3,3,9,1,6,4,7
3,6,4,4,4,9,7,2,4
6,5,1,1,2,3,6,2,7
7,4,4,4,8,8,9,8,8
9,8,2,2,5,4,4,1,1
3,3,5,5,3,5,1,6,6
5,1,7,7,3,7,8,3,9
5,8,3,3,3,1,7,1,5
2,9,2,2,4,3,8,4,8
7,2,6,6,7,6,2,5,7
6,8,4,4,9,4,5,2,6
5,6,5,5,8,9,4,2,1
3,1,8,8,4,7,5,4,7
4,10,4,4,3,6,5,7,8
3,5,7,7,3,1,1,7,9
5,6,2,2,1,9,6,2,7
6,6,7,7,1,3,1,8,6
2,7,8,8,6,7,5,2,4
1,4,10,10,7,8,4,8,5
10,3,3,3,5,3,4,8,2
