pid_num,vm,task_id,task_owner,task_type,setup,duration,cutting
9412,a,ID00000,CyberShake,8M,1532267440.287,7.234,1532267447.531,
8684,t,ID00021,CyberShake,16M,1532267440.287,13.873,1532267454.165,
1696,h,ID00012,CyberShake,16M,1532267440.287,14.234,1532267454.524,
9412,a,ID00010,CyberShake,16M,1532267447.531,14.334,1532267461.867,
8684,h,ID00023,CyberShake,16M,1532267454.165,14.234,1532267468.409,
1696,t,ID00025,CyberShake,16M,1532267454.524,13.873,1532267468.409,
9412,h,ID00006,CyberShake,16M,1532267461.867,14.234,1532267476.115,
8684,t,ID00027,CyberShake,16M,1532267468.409,13.873,1532267482.286,
1696,a,ID00017,CyberShake,16M,1532267468.409,14.334,1532267482.755,
9412,a,ID00015,CyberShake,16M,1532267476.115,14.528,1532267490.645,
1696,t,ID00029,CyberShake,16M,1532267482.755,13.955,1532267496.723,
8684,h,ID00004,CyberShake,16M,1532267482.286,14.715,1532267497.004,
1696,t,ID00020,CyberShake,8M,1532267496.723,6.481,1532267503.207,
9412,a,ID00008,CyberShake,16M,1532267490.645,14.528,1532267505.175,
1696,a,ID00022,CyberShake,8M,1532267503.207,7.196,1532267510.409,
8684,h,ID00019,CyberShake,16M,1532267497.004,14.715,1532267511.722,
9412,h,ID00009,CyberShake,8M,1532267505.175,7.221,1532267512.409,
1696,t,ID00011,CyberShake,8M,1532267510.409,6.481,1532267516.893,
9412,t,ID00016,CyberShake,8M,1532267512.409,6.442,1532267518.862,
8684,a,ID00024,CyberShake,8M,1532267511.722,7.24,1532267518.971,
1696,h,ID00005,CyberShake,8M,1532267516.893,7.342,1532267524.237,
9412,t,ID00014,CyberShake,8M,1532267518.862,6.442,1532267525.315,
8684,a,ID00026,CyberShake,8M,1532267518.971,7.24,1532267526.221,
1696,h,ID00003,CyberShake,8M,1532267524.237,7.342,1532267531.58,
9412,a,ID00018,CyberShake,8M,1532267525.315,7.24,1532267532.564,
8684,t,ID00028,CyberShake,8M,1532267526.221,6.442,1532267532.674,
1696,h,ID00007,CyberShake,8M,1532267531.58,7.342,1532267538.923,
1696,t,ID00001,CyberShake,16M,1532267538.923,13.868,1532267552.797,
8684,a,ID00013,CyberShake,32M,1532267532.674,28.071,1532267560.75,
9412,h,ID00002,CyberShake,32M,1532267532.564,33.164,1532267565.734,
